review_text,is_ai
"This product exceeded all my expectations! The build quality is great and battery life is long.",0
"The item arrived on time and works as advertised. Would buy again.",0
"I absolutely love this! It’s perfect for daily use and very comfortable.",0
"Superb performance, excellent camera, and sleek design. Worth every penny.",0
"Good quality for the price. I use it every day without any issues.",0
"Generated by advanced algorithms, this review highlights multiple product aspects objectively.",1
"This text was automatically generated to simulate human-like writing about a product.",1
"The performance metrics are consistent with expected values for the model in question.",1
"This review was created by an AI model to evaluate linguistic fluency and coherence.",1
"The product demonstrates significant improvement in durability and user satisfaction metrics.",1
"Delivery was quick and the packaging was good. Very happy with the purchase.",0
"It’s been two weeks and I’m still very satisfied with this phone’s performance.",0
"I tested this model in various conditions and it works perfectly fine.",0
"The syntax and semantics of this generated paragraph are designed to mimic human writing.",1
"This text was generated to express an opinion about a fictional product.",1
"Great experience overall, support team helped me within minutes!",0
"AI-based generation ensures that this review maintains a neutral and analytical tone.",1
"The model effectively produces contextually relevant sentences based on training data.",1
"This review was written by a user sharing authentic experience.",0
"Totally worth it! I’m going to recommend this to all my friends.",0
